Int2_Name,C-Index,H-Index,BDE_kcalmol,Int1_Name,appearance_index,count,substructure,count_substructure,appearance_index_substructure,apperance_index_substructure
aa326_opt_C6_H11,5,10,117.26063885995784,aa326_opt,6,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
5Hexen1amine_RH_Sub47_C7_H8,6,7,113.08758565000076,5Hexen1amine_RH_Sub47,2,3,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa339_opt_C8_H13,7,12,117.48102564497913,aa339_opt,7,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
3Buten1thiol_RH_Sub32_C6_H7,5,6,115.5281082225136,3Buten1thiol_RH_Sub32,1,3,"{'first layer': ['C', 'C'], 'second layer': ['F']}",84,1,1
Toluene_RH_Sub13_C4_H12,3,11,118.14444750995364,Toluene_RH_Sub13,4,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa329_plan_opt_C21_H26,20,25,120.324431454996,aa329_plan_opt,4,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Ethene_RH_Sub5_C1_H6,0,5,113.79943984752998,Ethene_RH_Sub5,1,3,"{'first layer': ['Cl', 'C'], 'second layer': []}",14,1,1
2Propen1ol_RH_Sub13_C8_H9,7,8,120.16870979996582,2Propen1ol_RH_Sub13,2,2,"{'first layer': ['C'], 'second layer': []}",656,1,1
aa91_opt_C2_H7,1,6,118.81226124749504,aa91_opt,5,5,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
Benzamide_o_N_RH_Sub7_C10_H14,9,13,117.7913319250078,Benzamide_o_N_RH_Sub7,4,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
4Penten1amine_RH_Sub7_C9_H10,8,9,113.17916739249632,4Penten1amine_RH_Sub7,2,3,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa101_opt_C2_H7,1,6,117.30809668500996,aa101_opt,7,10,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Ethene_RH_Sub6_C3_H4,2,3,118.10373029000002,Ethene_RH_Sub6,3,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
Toluene_RH_Sub26_C6_H9,5,8,117.57265382250084,Toluene_RH_Sub26,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
3Buten1ol_RH_Sub2_C6_H7,5,6,116.33579924000033,3Buten1ol_RH_Sub2,2,2,"{'first layer': ['C', 'C'], 'second layer': ['F']}",84,1,1
3Buten1amine_gamma_RH_Sub18_C11_H12,10,11,120.07680301250132,3Buten1amine_gamma_RH_Sub18,1,2,"{'first layer': ['N', 'C'], 'second layer': []}",64,1,1
aa150_plan_opt_C7_H20,6,19,117.76477737997313,aa150_plan_opt,6,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa251_opt_C14_H24,13,23,118.50972781001872,aa251_opt,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa94_plan_opt_C3_H8,2,7,117.62017125995754,aa94_plan_opt,3,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Styrene_RH_Sub1_C7_H11,6,10,117.56754283501266,Styrene_RH_Sub1,3,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa316_opt_C1_H16,0,15,118.45656538251404,aa316_opt,3,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa217_plan_opt_C11_H19,10,18,117.31334133004708,aa217_plan_opt,4,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa334_plan_opt_C18_H23,17,22,117.36495759749516,aa334_plan_opt,3,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa88_plan_opt_C2_H7,1,6,117.91123713500384,aa88_plan_opt,4,5,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
3Buten1amine_gamma_RH_Sub33_C11_H13,10,12,117.92642075251392,3Buten1amine_gamma_RH_Sub33,2,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
